year,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,records_with_unknown_month,source_id,source_scope,coverage_tier,coverage_status,provisional,comparable_over_time,causal_smoke_attribution
1980,Canada,7483,11922028,1345,7483,7483,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1981,Canada,9242,15529231,2494,9242,9242,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1982,Canada,7748,4342253,1858,7748,7748,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1983,Canada,7978,4977867,1199,7978,7978,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1984,Canada,8484,1882440,2249,8484,8484,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1985,Canada,7760,2094305,1461,7760,7760,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1986,Canada,6091,2485664,1077,6091,6091,1,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1987,Canada,10465,2514881,2257,10465,10465,3,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1988,Canada,10168,3339797,1898,10168,10168,4,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1989,Canada,12015,18773255,1797,12015,12015,1,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
