year,geography,incident_records,reported_name_records,agency_id_only_records,acres,source_dataset,coverage_scope,source_year_status,source_coverage_complete,comparable_to_other_geography
1995,United States,253,225,28,1145218,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1996,Canada,467,10,457,4670198,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1996,United States,500,409,91,4583581,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1997,Canada,131,7,124,1525760,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1997,United States,152,115,37,642274,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1998,Canada,530,102,428,11816211,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1998,United States,298,204,94,1479720,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1999,Canada,303,39,264,4311812,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1999,United States,515,429,86,4931180,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2000,Canada,182,35,147,1520667,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2000,United States,661,517,144,6002688,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2001,Canada,175,55,120,1552031,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2001,United States,437,350,87,2443075,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2002,Canada,322,87,235,6753050,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2002,United States,418,363,55,5298508,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2003,Canada,414,58,356,5278070,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2003,United States,361,339,22,3476560,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2004,Canada,432,83,349,7810584,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2004,United States,284,245,39,7619875,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2005,Canada,303,66,237,4112342,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2005,United States,601,502,99,8367666,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2006,Canada,416,117,299,5102881,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2006,United States,799,728,71,7539942,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2007,Canada,256,40,216,4357953,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
