zcta,name,state,population_2020,latitude,longitude,grid_distance_km,smoke_days_aqi101_equiv,mean_smoke_pm25_ug_m3,population_days
01347,ZCTA5 01347,MA,204,42.559294,-72.518753,4.634,0,0.699,0
01349,ZCTA5 01349,MA,827,42.563061,-72.482115,2.729,0,0.699,0
01350,ZCTA5 01350,MA,118,42.727772,-72.985346,7.739,0,0.708,0
01351,ZCTA5 01351,MA,2293,42.53988,-72.521689,4.396,0,0.699,0
01354,ZCTA5 01354,MA,1546,42.624101,-72.508607,9.838,0,0.699,0
01355,ZCTA5 01355,MA,879,42.458551,-72.327191,5.855,0,0.727,0
01360,ZCTA5 01360,MA,2871,42.677091,-72.453876,3.659,0,0.701,0
01364,ZCTA5 01364,MA,7665,42.605437,-72.292074,6.844,1,0.757,7665
01366,ZCTA5 01366,MA,1187,42.475621,-72.192468,7.51,0,0.727,0
01367,ZCTA5 01367,MA,506,42.695532,-72.909148,9.207,0,0.705,0
01368,ZCTA5 01368,MA,1283,42.679456,-72.176935,5.92,1,0.757,1283
01370,ZCTA5 01370,MA,3932,42.593376,-72.726928,5.803,0,0.695,0
01373,ZCTA5 01373,MA,4526,42.475481,-72.615403,8.896,0,0.728,0
01375,ZCTA5 01375,MA,3639,42.466691,-72.546751,7.437,0,0.731,0
01376,ZCTA5 01376,MA,5324,42.59528,-72.555002,8.463,0,0.695,0
01378,ZCTA5 01378,MA,780,42.673533,-72.353213,4.643,0,0.701,0
01379,ZCTA5 01379,MA,774,42.556308,-72.407153,5.277,0,0.699,0
01420,ZCTA5 01420,MA,41940,42.584925,-71.816862,4.507,1,0.798,41940
01430,ZCTA5 01430,MA,6303,42.658741,-71.932918,8.727,1,0.78,6303
01431,ZCTA5 01431,MA,3193,42.676293,-71.832523,4.319,1,0.853,3193
01432,ZCTA5 01432,MA,8221,42.564663,-71.567298,9.02,1,0.801,8221
01434,ZCTA5 01434,MA,1652,42.539753,-71.61233,5.166,1,0.84,1652
01436,ZCTA5 01436,MA,3208,42.602059,-72.087015,4.7,1,0.77,3208
01438,ZCTA5 01438,MA,414,42.562058,-72.031694,3.434,1,0.77,414
01440,ZCTA5 01440,MA,21577,42.588337,-71.986069,3.709,1,0.77,21577
01450,ZCTA5 01450,MA,11298,42.611636,-71.564743,4.24,1,0.801,11298
01451,ZCTA5 01451,MA,5461,42.501908,-71.568201,7.007,1,0.84,5461
01452,ZCTA5 01452,MA,4328,42.495111,-72.002339,8.558,1,0.793,4328
01453,ZCTA5 01453,MA,43752,42.519967,-71.763319,7.22,1,0.798,43752
01460,ZCTA5 01460,MA,10141,42.535931,-71.490569,8.69,1,0.808,10141
01462,ZCTA5 01462,MA,11818,42.582607,-71.720464,10.255,1,0.84,11818
01463,ZCTA5 01463,MA,11621,42.670643,-71.602858,3.119,1,0.801,11621
01464,ZCTA5 01464,MA,7427,42.573654,-71.640986,7.745,1,0.84,7427
01468,ZCTA5 01468,MA,4309,42.542767,-72.068345,6.364,1,0.77,4309
01469,ZCTA5 01469,MA,7055,42.664794,-71.695055,7.567,1,0.853,7055
01473,ZCTA5 01473,MA,8213,42.5546,-71.90544,5.221,1,0.798,8213
01474,ZCTA5 01474,MA,2072,42.669685,-71.752751,3.14,1,0.853,2072
01475,ZCTA5 01475,MA,10304,42.66816,-72.055644,8.605,1,0.77,10304
01501,ZCTA5 01501,MA,16731,42.198867,-71.845722,6.692,1,0.84,16731
01503,ZCTA5 01503,MA,3158,42.384929,-71.633889,6.899,1,0.787,3158
01504,ZCTA5 01504,MA,9208,42.039991,-71.532406,7.602,1,0.771,9208
01505,ZCTA5 01505,MA,4849,42.355049,-71.716157,1.199,1,0.787,4849
01506,ZCTA5 01506,MA,3439,42.180807,-72.107888,8.321,0,0.768,0
01507,ZCTA5 01507,MA,13315,42.133935,-71.968025,4.363,1,0.809,13315
01510,ZCTA5 01510,MA,15428,42.411887,-71.690005,5.495,1,0.787,15428
01515,ZCTA5 01515,MA,2224,42.209682,-72.040178,8.817,1,0.809,2224
01516,ZCTA5 01516,MA,8962,42.053072,-71.752241,7.721,1,0.842,8962
01518,ZCTA5 01518,MA,3176,42.127477,-72.118818,8.093,1,0.809,3176
01519,ZCTA5 01519,MA,7254,42.203404,-71.679739,8.066,1,0.811,7254
01520,ZCTA5 01520,MA,16394,42.336385,-71.850759,9.194,1,0.811,16394
01521,ZCTA5 01521,MA,2603,42.046783,-72.180212,7.29,0,0.772,0
01522,ZCTA5 01522,MA,3464,42.375634,-71.867382,4.753,1,0.811,3464
01523,ZCTA5 01523,MA,8377,42.483569,-71.675585,2.955,1,0.84,8377
01524,ZCTA5 01524,MA,6621,42.245361,-71.914957,4.767,1,0.82,6621
01525,ZCTA5 01525,MA,73,42.106794,-71.630518,7.176,1,0.823,73
01527,ZCTA5 01527,MA,13799,42.192246,-71.777649,3.843,1,0.84,13799
01529,ZCTA5 01529,MA,3174,42.036642,-71.578779,5.605,1,0.823,3174
01531,ZCTA5 01531,MA,996,42.326183,-72.133431,1.848,1,0.777,996
01532,ZCTA5 01532,MA,15741,42.323342,-71.646236,7.278,1,0.787,15741
01534,ZCTA5 01534,MA,6233,42.142074,-71.643348,6.503,1,0.811,6233
01535,ZCTA5 01535,MA,4735,42.267564,-72.066876,8.59,1,0.777,4735
01536,ZCTA5 01536,MA,7514,42.231309,-71.692642,6.692,1,0.84,7514
01537,ZCTA5 01537,MA,2141,42.158966,-71.897051,9.511,1,0.842,2141
01540,ZCTA5 01540,MA,11032,42.116263,-71.857465,3.753,1,0.842,11032
01541,ZCTA5 01541,MA,3495,42.454125,-71.87754,5.311,1,0.811,3495
01542,ZCTA5 01542,MA,2366,42.204251,-71.908907,8.579,1,0.82,2366
01543,ZCTA5 01543,MA,9049,42.388285,-71.969865,6.071,1,0.811,9049
01545,ZCTA5 01545,MA,38316,42.284767,-71.714228,8.102,1,0.84,38316
01550,ZCTA5 01550,MA,17740,42.059737,-72.033908,8.073,1,0.809,17740
01560,ZCTA5 01560,MA,4896,42.175395,-71.674223,7.305,1,0.811,4896
01561,ZCTA5 01561,MA,64,42.44397,-71.685583,7.238,1,0.84,64
01562,ZCTA5 01562,MA,11992,42.247211,-71.991867,3.622,1,0.82,11992
01564,ZCTA5 01564,MA,7985,42.447924,-71.776045,10.476,1,0.787,7985
01566,ZCTA5 01566,MA,6691,42.103214,-72.079545,5.786,1,0.809,6691
01568,ZCTA5 01568,MA,7900,42.176526,-71.603588,1.579,1,0.811,7900
01569,ZCTA5 01569,MA,14193,42.055921,-71.631128,1.868,1,0.823,14193
01570,ZCTA5 01570,MA,17776,42.047075,-71.845805,4.627,1,0.842,17776
01571,ZCTA5 01571,MA,11921,42.053778,-71.935075,9.205,1,0.842,11921
01581,ZCTA5 01581,MA,21567,42.268426,-71.613309,9.288,1,0.768,21567
01583,ZCTA5 01583,MA,7652,42.369417,-71.785036,5.871,1,0.787,7652
01585,ZCTA5 01585,MA,4899,42.240796,-72.162645,8.193,0,0.768,0
01588,ZCTA5 01588,MA,10106,42.1188,-71.672496,8.674,1,0.823,10106
01590,ZCTA5 01590,MA,9279,42.132051,-71.750318,8.441,1,0.842,9279
01602,ZCTA5 01602,MA,25382,42.269189,-71.850728,7.908,1,0.84,25382
01603,ZCTA5 01603,MA,22417,42.243826,-71.843569,6.061,1,0.84,22417
01604,ZCTA5 01604,MA,41301,42.253485,-71.767932,3.018,1,0.84,41301
01605,ZCTA5 01605,MA,29218,42.289683,-71.787793,7.101,1,0.84,29218
01606,ZCTA5 01606,MA,21651,42.315249,-71.795741,8.77,1,0.787,21651
01607,ZCTA5 01607,MA,9378,42.225974,-71.788894,1.255,1,0.84,9378
01608,ZCTA5 01608,MA,4996,42.26198,-71.801462,4.542,1,0.84,4996
01609,ZCTA5 01609,MA,23870,42.285114,-71.829987,7.979,1,0.84,23870
01610,ZCTA5 01610,MA,28717,42.247049,-71.808366,3.644,1,0.84,28717
01611,ZCTA5 01611,MA,2277,42.237604,-71.875838,7.964,1,0.82,2277
01612,ZCTA5 01612,MA,5051,42.296798,-71.928991,3.939,1,0.82,5051
01701,ZCTA5 01701,MA,33005,42.319587,-71.4428,6.825,1,0.768,33005
01702,ZCTA5 01702,MA,39515,42.282379,-71.436623,8.135,1,0.775,39515
01718,ZCTA5 01718,MA,688,42.519818,-71.429286,7.273,1,0.808,688
01719,ZCTA5 01719,MA,5506,42.485985,-71.520985,5.404,1,0.808,5506
01720,ZCTA5 01720,MA,23232,42.483953,-71.438495,3.449,1,0.808,23232
01721,ZCTA5 01721,MA,18832,42.257755,-71.473526,8.26,1,0.768,18832
01730,ZCTA5 01730,MA,14566,42.499332,-71.281901,8.116,1,0.775,14566
01731,ZCTA5 01731,MA,1555,42.456754,-71.279477,4.629,1,0.754,1555
01740,ZCTA5 01740,MA,5665,42.439933,-71.601885,8.352,1,0.84,5665
01741,ZCTA5 01741,MA,5237,42.536807,-71.361324,7.753,1,0.792,5237
01742,ZCTA5 01742,MA,18545,42.462911,-71.364496,8.273,1,0.808,18545
01745,ZCTA5 01745,MA,433,42.292114,-71.499197,3.902,1,0.768,433
01746,ZCTA5 01746,MA,14996,42.195951,-71.45343,7.906,1,0.754,14996
01747,ZCTA5 01747,MA,6017,42.123007,-71.531404,7.984,1,0.811,6017
01748,ZCTA5 01748,MA,18758,42.224096,-71.540489,5.976,1,0.811,18758
01749,ZCTA5 01749,MA,20092,42.389071,-71.545864,7.727,1,0.768,20092
01752,ZCTA5 01752,MA,41793,42.349617,-71.547214,3.619,1,0.768,41793
01754,ZCTA5 01754,MA,10730,42.425955,-71.456256,3.861,1,0.808,10730
01756,ZCTA5 01756,MA,6228,42.09387,-71.544519,10.09,1,0.823,6228
01757,ZCTA5 01757,MA,30479,42.158692,-71.521419,5.938,1,0.811,30479
01760,ZCTA5 01760,MA,36659,42.284822,-71.348811,1.288,1,0.775,36659
01770,ZCTA5 01770,MA,4401,42.231947,-71.372963,5.716,1,0.775,4401
01772,ZCTA5 01772,MA,10017,42.302877,-71.530828,2.077,1,0.768,10017
01773,ZCTA5 01773,MA,5651,42.425506,-71.310812,2.988,1,0.754,5651
01775,ZCTA5 01775,MA,7190,42.429688,-71.512514,5.14,1,0.808,7190
01776,ZCTA5 01776,MA,18934,42.383367,-71.42107,9.266,1,0.808,18934
01778,ZCTA5 01778,MA,14132,42.356275,-71.361942,9.097,1,0.775,14132
01801,ZCTA5 01801,MA,40891,42.488703,-71.154383,8.841,1,0.775,40891
01803,ZCTA5 01803,MA,26074,42.503227,-71.201713,5.756,1,0.775,26074
01810,ZCTA5 01810,MA,35621,42.648044,-71.161751,4.982,1,0.8,35621
01821,ZCTA5 01821,MA,30909,42.54933,-71.251725,2.96,1,0.775,30909
