zcta,name,state,population_2020,latitude,longitude,land_sq_mi
32181,ZCTA5 32181,FL,2259,29.507981,-81.601987,25.061
32187,ZCTA5 32187,FL,1667,29.578946,-81.550038,23.773
32189,ZCTA5 32189,FL,5887,29.54984,-81.647696,24.412
32190,ZCTA5 32190,FL,1115,29.34334,-81.489008,31.656
32193,ZCTA5 32193,FL,983,29.504965,-81.645067,7.916
32195,ZCTA5 32195,FL,3462,28.98808,-81.886336,21.179
32202,ZCTA5 32202,FL,6544,30.32462,-81.647232,1.985
32204,ZCTA5 32204,FL,8673,30.317018,-81.680832,2.715
32205,ZCTA5 32205,FL,29605,30.298822,-81.721037,7.59
32206,ZCTA5 32206,FL,18283,30.350191,-81.638776,6.165
32207,ZCTA5 32207,FL,36207,30.289637,-81.640966,11.53
32208,ZCTA5 32208,FL,33286,30.39309,-81.682946,11.622
32209,ZCTA5 32209,FL,36656,30.361015,-81.696254,9.338
32210,ZCTA5 32210,FL,66415,30.266582,-81.745526,20.16
32211,ZCTA5 32211,FL,34168,30.33152,-81.582697,8.27
32212,ZCTA5 32212,FL,1393,30.222109,-81.669128,5.292
32216,ZCTA5 32216,FL,42847,30.277467,-81.582904,12.584
32217,ZCTA5 32217,FL,20543,30.22918,-81.621158,5.283
32218,ZCTA5 32218,FL,67040,30.487842,-81.667693,96.753
32219,ZCTA5 32219,FL,14474,30.426654,-81.815005,53.441
32220,ZCTA5 32220,FL,13037,30.368009,-81.870968,61.415
32221,ZCTA5 32221,FL,30961,30.260056,-81.85295,35.899
32222,ZCTA5 32222,FL,13564,30.208918,-81.831013,11.563
32223,ZCTA5 32223,FL,25600,30.156574,-81.649405,11.527
32224,ZCTA5 32224,FL,42395,30.270438,-81.467894,21.162
32225,ZCTA5 32225,FL,57441,30.357756,-81.505829,26.443
32226,ZCTA5 32226,FL,20306,30.481248,-81.506157,85.649
32227,ZCTA5 32227,FL,3799,30.389189,-81.404408,1.105
32228,ZCTA5 32228,FL,219,30.39186,-81.400074,0.129
32233,ZCTA5 32233,FL,23980,30.358873,-81.419388,10.204
32234,ZCTA5 32234,FL,7514,30.225133,-81.98456,129.486
32244,ZCTA5 32244,FL,63292,30.217667,-81.752685,23.579
32246,ZCTA5 32246,FL,58105,30.29376,-81.517139,18.858
32250,ZCTA5 32250,FL,30080,30.28049,-81.412038,8.606
32254,ZCTA5 32254,FL,14545,30.340961,-81.734788,12.399
32256,ZCTA5 32256,FL,53611,30.175327,-81.471951,63.527
32257,ZCTA5 32257,FL,41439,30.189355,-81.612466,12.246
32258,ZCTA5 32258,FL,37859,30.140712,-81.551712,18.68
32259,ZCTA5 32259,FL,62169,30.074317,-81.585207,54.757
32266,ZCTA5 32266,FL,7217,30.317386,-81.409066,2.337
32277,ZCTA5 32277,FL,33174,30.37745,-81.593947,7.163
32301,ZCTA5 32301,FL,29686,30.422234,-84.258573,10.339
32303,ZCTA5 32303,FL,48644,30.515518,-84.341641,35.517
32304,ZCTA5 32304,FL,50007,30.451971,-84.352772,15.664
32305,ZCTA5 32305,FL,19199,30.349872,-84.300765,89.643
32308,ZCTA5 32308,FL,23355,30.477479,-84.226996,14.765
32309,ZCTA5 32309,FL,31189,30.56683,-84.097649,111.092
32310,ZCTA5 32310,FL,17209,30.385436,-84.512181,105.476
32311,ZCTA5 32311,FL,21218,30.39005,-84.181035,45.992
32312,ZCTA5 32312,FL,34304,30.605283,-84.229562,104.264
32317,ZCTA5 32317,FL,14459,30.470481,-84.116694,38.41
32320,ZCTA5 32320,FL,3726,29.731734,-85.111872,39.906
32321,ZCTA5 32321,FL,6254,30.26544,-84.979665,406.662
32322,ZCTA5 32322,FL,4213,29.953398,-84.579036,71.869
32323,ZCTA5 32323,FL,262,29.891511,-84.613733,7.725
32324,ZCTA5 32324,FL,4554,30.654759,-84.783247,69.954
32327,ZCTA5 32327,FL,30048,30.182261,-84.305327,231.196
32328,ZCTA5 32328,FL,3721,29.738804,-84.900164,112.077
32330,ZCTA5 32330,FL,541,30.57993,-84.750532,3.368
32331,ZCTA5 32331,FL,4192,30.444887,-83.6376,291.46
32332,ZCTA5 32332,FL,1411,30.620735,-84.678052,4.486
32333,ZCTA5 32333,FL,11499,30.607743,-84.417592,105.913
32334,ZCTA5 32334,FL,1616,30.266237,-84.742472,165.319
32336,ZCTA5 32336,FL,1408,30.260764,-83.847969,181.109
32340,ZCTA5 32340,FL,10744,30.468748,-83.439238,233.492
32343,ZCTA5 32343,FL,3621,30.478331,-84.504689,26.478
32344,ZCTA5 32344,FL,12705,30.526078,-83.962287,514.92
32346,ZCTA5 32346,FL,1750,29.990837,-84.384593,33.052
32347,ZCTA5 32347,FL,7805,30.174196,-83.611528,105.786
32348,ZCTA5 32348,FL,11782,29.977404,-83.596157,318.591
32350,ZCTA5 32350,FL,1365,30.574972,-83.325794,51.21
32351,ZCTA5 32351,FL,16526,30.520125,-84.675081,209.568
32352,ZCTA5 32352,FL,5674,30.662261,-84.591627,96.608
32355,ZCTA5 32355,FL,284,30.172195,-84.208552,3.422
32356,ZCTA5 32356,FL,117,29.859235,-83.415003,39.056
32358,ZCTA5 32358,FL,2185,30.105666,-84.558003,156.51
