year,geography,rank,fire_name,label_kind,normalized_record_id,source_record_id,region,latitude,longitude,acres,source_dataset,provisional,causal_smoke_attribution
1968,Canada,3,Ds3021,reported_name,nrcan-nfdb:6714,AB-1968-DS3-021-68,Alberta,55.0594,-115.2817,77839,Canadian National Fire Database large-fire points,false,false
1969,Canada,1,Dp5004,reported_name,nrcan-nfdb:6655,AB-1969-DP5-004-69,Alberta,57.3026,-118.6799,29743,Canadian National Fire Database large-fire points,false,false
1969,Canada,2,Df7009,reported_name,nrcan-nfdb:6621,AB-1969-DF7-009-69,Alberta,59.6812,-117.813,24160,Canadian National Fire Database large-fire points,false,false
1969,Canada,3,Da3004,reported_name,nrcan-nfdb:6649,AB-1969-DA3-004-69,Alberta,57.2879,-110.3606,6745,Canadian National Fire Database large-fire points,false,false
1970,Canada,1,Dl5020,reported_name,nrcan-nfdb:6691,AB-1970-DL5-020-70,Alberta,55.4208,-110.2164,24191,Canadian National Fire Database large-fire points,false,false
1970,Canada,2,Dl5017,reported_name,nrcan-nfdb:6690,AB-1970-DL5-017-70,Alberta,55.4844,-110.0922,18802,Canadian National Fire Database large-fire points,false,false
1970,Canada,3,Dl9002,reported_name,nrcan-nfdb:6692,AB-1970-DL9-002-70,Alberta,55.2026,-110.319,18090,Canadian National Fire Database large-fire points,false,false
1971,Canada,1,Df7019,reported_name,nrcan-nfdb:6616,AB-1971-DF7-019-71,Alberta,59.8266,-115.9249,61717,Canadian National Fire Database large-fire points,false,false
1971,Canada,2,Df1074,reported_name,nrcan-nfdb:6627,AB-1971-DF1-074-71,Alberta,59.1725,-115.5157,27559,Canadian National Fire Database large-fire points,false,false
1971,Canada,3,Df1071,reported_name,nrcan-nfdb:6625,AB-1971-DF1-071-71,Alberta,58.8236,-115.4442,8269,Canadian National Fire Database large-fire points,false,false
1972,Canada,1,Ds2018,reported_name,nrcan-nfdb:6806,AB-1972-DS2-018-72,Alberta,55.4938,-114.499,58947,Canadian National Fire Database large-fire points,false,false
1972,Canada,2,Dw5005,reported_name,nrcan-nfdb:6815,AB-1972-DW5-005-72,Alberta,54.6813,-115.3967,14263,Canadian National Fire Database large-fire points,false,false
1972,Canada,3,Df1016,reported_name,nrcan-nfdb:6789,AB-1972-DF1-016-72,Alberta,57.7627,-115.7853,10822,Canadian National Fire Database large-fire points,false,false
1973,Canada,1,Dl2011,reported_name,nrcan-nfdb:6817,AB-1973-DL2-011-73,Alberta,54.3876,-111.7603,16466,Canadian National Fire Database large-fire points,false,false
1973,Canada,2,Dl2012,reported_name,nrcan-nfdb:6813,AB-1973-DL2-012-73,Alberta,54.5185,-111.851,2821,Canadian National Fire Database large-fire points,false,false
1973,Canada,3,Dl2010,reported_name,nrcan-nfdb:6812,AB-1973-DL2-010-73,Alberta,54.7947,-112.0956,883,Canadian National Fire Database large-fire points,false,false
1974,Canada,1,Dw5007,reported_name,nrcan-nfdb:6816,AB-1974-DW5-007-74,Alberta,54.554,-115.7243,25115,Canadian National Fire Database large-fire points,false,false
1974,Canada,2,Dr3020,reported_name,nrcan-nfdb:6961,AB-1974-DR3-020-74,Alberta,51.8986,-116.3891,6721,Canadian National Fire Database large-fire points,false,false
1974,Canada,3,Ds1005,reported_name,nrcan-nfdb:6807,AB-1974-DS1-005-74,Alberta,55.5808,-113.6596,5987,Canadian National Fire Database large-fire points,false,false
1975,Canada,1,Df2006,reported_name,nrcan-nfdb:6772,AB-1975-DF2-006-75,Alberta,58.969,-116.1417,5481,Canadian National Fire Database large-fire points,false,false
1975,Canada,2,Df1024,reported_name,nrcan-nfdb:6771,AB-1975-DF1-024-75,Alberta,58.9545,-116.0279,1036,Canadian National Fire Database large-fire points,false,false
1975,Canada,3,NA,agency_incident_id,nrcan-nfdb:15287,NL-1975-NA,Newfoundland and Labrador,52.55,-56.3,373159,Canadian National Fire Database large-fire points,false,false
1976,Canada,1,Ds1013,reported_name,nrcan-nfdb:6808,AB-1976-DS1-013-76,Alberta,55.5354,-113.9601,34456,Canadian National Fire Database large-fire points,false,false
1976,Canada,2,Dl4033,reported_name,nrcan-nfdb:6819,AB-1976-DL4-033-76,Alberta,54.4164,-112.3046,1813,Canadian National Fire Database large-fire points,false,false
1976,Canada,3,Dl1031,reported_name,nrcan-nfdb:6826,AB-1976-DL1-031-76,Alberta,53.8057,-110.1349,1449,Canadian National Fire Database large-fire points,false,false
1977,Canada,1,Df1011,reported_name,nrcan-nfdb:6773,AB-1977-DF1-011-77,Alberta,59.4614,-115.4199,5795,Canadian National Fire Database large-fire points,false,false
1977,Canada,2,Dl2006,reported_name,nrcan-nfdb:6820,AB-1977-DL2-006-77,Alberta,54.3295,-111.9812,4031,Canadian National Fire Database large-fire points,false,false
1977,Canada,3,Dl2007,reported_name,nrcan-nfdb:6821,AB-1977-DL2-007-77,Alberta,54.5492,-112.2193,3327,Canadian National Fire Database large-fire points,false,false
1978,Canada,1,Dl2016,reported_name,nrcan-nfdb:6796,AB-1978-DL2-016-78,Alberta,55.6099,-111.8224,2871,Canadian National Fire Database large-fire points,false,false
1978,Canada,2,Df1034,reported_name,nrcan-nfdb:6788,AB-1978-DF1-034-78,Alberta,57.5173,-115.7852,2709,Canadian National Fire Database large-fire points,false,false
1978,Canada,3,Dl4013,reported_name,nrcan-nfdb:6797,AB-1978-DL4-013-78,Alberta,55.7554,-112.159,2203,Canadian National Fire Database large-fire points,false,false
1979,Canada,1,Da3021,reported_name,nrcan-nfdb:6766,AB-1979-DA3-021-79,Alberta,59.7626,-110.1251,213129,Canadian National Fire Database large-fire points,false,false
1979,Canada,2,Da3023,reported_name,nrcan-nfdb:6767,AB-1979-DA3-023-79,Alberta,59.899,-111.0581,135137,Canadian National Fire Database large-fire points,false,false
