year,geography,rank,fire_name,label_kind,normalized_record_id,source_record_id,region,latitude,longitude,acres,source_dataset,provisional,causal_smoke_attribution
2019,United States,1,Chalkyitsik Complex,reported_name,mtbs:AK6657114321520190709,AK6657114321520190709,Alaska,66.61908,-143.32866,470271,MTBS Fire Occurrence Points,false,false
2019,United States,2,Hess Creek,reported_name,mtbs:AK6569814836520190622,AK6569814836520190622,Alaska,65.63299,-148.21298,181319,MTBS Fire Occurrence Points,false,false
2019,United States,3,Old Grouch Top,reported_name,mtbs:AK6330815738820190605,AK6330815738820190605,Alaska,63.23775,-157.59524,173850,MTBS Fire Occurrence Points,false,false
2020,Canada,1,20Pa-English,reported_name,nrcan-nfdb:10060,SK-2020-20PA-ENGLISH,Saskatchewan,53.30833,-105.01667,101062,Canadian National Fire Database large-fire points,false,false
2020,Canada,2,We004,reported_name,nrcan-nfdb:10242,MB-2020-MB2020WE004,Manitoba,52.08583,-100.17972,62420,Canadian National Fire Database large-fire points,false,false
2020,Canada,3,Ea035,reported_name,nrcan-nfdb:10232,MB-2020-MB2020EA035,Manitoba,50.79833,-95.76917,22311,Canadian National Fire Database large-fire points,false,false
2020,United States,1,August Complex,reported_name,mtbs:CA3966012280920200817,CA3966012280920200817,California,39.93762,-122.99685,1067970,MTBS Fire Occurrence Points,false,false
2020,United States,2,Scu Lightning Complex,reported_name,mtbs:CA3742412156820200816,CA3742412156820200816,California,37.35197,-121.44835,405644,MTBS Fire Occurrence Points,false,false
2020,United States,3,Creek,reported_name,mtbs:CA3720111927220200905,CA3720111927220200905,California,37.33327,-119.27585,381529,MTBS Fire Occurrence Points,false,false
2021,Canada,1,Ea096,reported_name,nrcan-nfdb:13246,MB-2021-MB2021EA096,Manitoba,52.29641,-96.08561,671387,Canadian National Fire Database large-fire points,false,false
2021,Canada,2,Ea044,reported_name,nrcan-nfdb:13174,MB-2021-MB2021EA044,Manitoba,52.00461,-99.1576,429041,Canadian National Fire Database large-fire points,false,false
2021,Canada,3,21Hb-Bell,reported_name,nrcan-nfdb:10155,SK-2021-21HB-BELL,Saskatchewan,53.20558,-102.628,219443,Canadian National Fire Database large-fire points,false,false
2021,United States,1,Dixie,reported_name,mtbs:CA3987612137920210714,CA3987612137920210714,California,40.21129,-121.04824,979722,MTBS Fire Occurrence Points,false,false
2021,United States,2,Bootleg,reported_name,mtbs:OR4261612142120210706,OR4261612142120210706,Oregon,42.62786,-121.08084,413425,MTBS Fire Occurrence Points,false,false
2021,United States,3,Caldor,reported_name,mtbs:CA3858612053820210815,CA3858612053820210815,California,38.70589,-120.31275,226739,MTBS Fire Occurrence Points,false,false
2022,Canada,1,Battleship Mountain,reported_name,nrcan-nfdb:3628,BC-2022-2022-G72150,British Columbia,56.0043,-122.719,85877,Canadian National Fire Database large-fire points,false,false
2022,Canada,2,Heather Lake,reported_name,nrcan-nfdb:3648,BC-2022-2022-V11746,British Columbia,49.0115,-120.7316,36992,Canadian National Fire Database large-fire points,false,false
2022,Canada,3,One Ace Mountain,reported_name,nrcan-nfdb:3612,BC-2022-2022-R90436,British Columbia,59.7616,-129.4523,30468,Canadian National Fire Database large-fire points,false,false
2022,United States,1,Hermits Peak,reported_name,mtbs:NM3571810539920220406,NM3571810539920220406,New Mexico,35.84036,-105.41228,351782,MTBS Fire Occurrence Points,false,false
2022,United States,2,Black,reported_name,mtbs:NM3320410805920220514,NM3320410805920220514,New Mexico,33.2055,-107.88694,328399,MTBS Fire Occurrence Points,false,false
2022,United States,3,Koktuli River,reported_name,mtbs:AK5989515609120220609,AK5989515609120220609,Alaska,59.96775,-156.06527,296617,MTBS Fire Occurrence Points,false,false
2023,Canada,1,2023 Holdover DONNIE CREEK,reported_name,nrcan-nfdb:2730,BC-2023-2023-G80280,British Columbia,57.6187,-122.0123,1529761,Canadian National Fire Database large-fire points,false,false
2023,Canada,2,2023 Holdover G90288,reported_name,nrcan-nfdb:2651,BC-2023-2023-G90288,British Columbia,59.9636,-120.9866,716787,Canadian National Fire Database large-fire points,false,false
2023,Canada,3,2023 Holdover Ekwan Tower,reported_name,nrcan-nfdb:2720,BC-2023-2023-G92498,British Columbia,58.5786,-120.9371,679675,Canadian National Fire Database large-fire points,false,false
2023,United States,1,York,reported_name,mtbs:CA3528611528620230728,CA3528611528620230728,California,35.30274,-115.20587,94728,MTBS Fire Occurrence Points,false,false
2023,United States,2,Kelly,reported_name,mtbs:CA4185912384020230815,CA4185912384020230815,California,41.90792,-123.85209,90208,MTBS Fire Occurrence Points,false,false
2023,United States,3,Pass,reported_name,mtbs:NM3340610828920230519,NM3340610828920230519,New Mexico,33.36116,-108.21629,66128,MTBS Fire Occurrence Points,false,false
2024,Canada,1,Nogah Creek,reported_name,nrcan-nfdb:21144,BC-2024-2024-G90228,British Columbia,58.794,-121.6269,1256415,Canadian National Fire Database large-fire points,false,false
2024,Canada,2,Patry Creek,reported_name,nrcan-nfdb:21147,BC-2024-2024-G90207,British Columbia,59.3103,-123.2825,422073,Canadian National Fire Database large-fire points,false,false
2024,Canada,3,Sabina Lake,reported_name,nrcan-nfdb:21075,BC-2024-2024-R11204,British Columbia,53.5915,-126.2854,136610,Canadian National Fire Database large-fire points,false,false
2024,United States,1,Park,reported_name,mtbs:CA3981912180320240724,CA3981912180320240724,California,40.11688,-121.79872,430768,MTBS Fire Occurrence Points,false,false
2024,United States,2,Durkee,reported_name,mtbs:OR4454811747720240717,OR4454811747720240717,Oregon,44.38196,-117.4838,292919,MTBS Fire Occurrence Points,false,false
2024,United States,3,Remington,reported_name,mtbs:WY4494210607120240822,WY4494210607120240822,Wyoming,45.17274,-106.33345,192465,MTBS Fire Occurrence Points,false,false
2025,Canada,1,Pocket Knife Creek,reported_name,nrcan-nfdb:21258,BC-2025-2025-G80352,British Columbia,57.4485,-123.1818,369434,Canadian National Fire Database large-fire points,false,false
2025,Canada,2,G90382,reported_name,nrcan-nfdb:21224,BC-2025-2025-G90382,British Columbia,59.3743,-120.0329,232420,Canadian National Fire Database large-fire points,false,false
2025,Canada,3,Summit Lake (G90413),reported_name,nrcan-nfdb:21259,BC-2025-2025-G90413,British Columbia,58.7368,-124.5919,199765,Canadian National Fire Database large-fire points,false,false
2025,United States,1,Cottonwood Peak,reported_name,mtbs:NV4139011620920250816,NV4139011620920250816,Nevada,41.49921,-116.23754,137796,MTBS Fire Occurrence Points,true,false
2025,United States,2,Gifford,reported_name,mtbs:CA3507612015920250801,CA3507612015920250801,California,35.13166,-120.15165,130896,MTBS Fire Occurrence Points,true,false
2025,United States,3,Red Canyon,reported_name,mtbs:WY4363010794620250814,WY4363010794620250814,Wyoming,43.59377,-107.83118,128476,MTBS Fire Occurrence Points,true,false
2026,United States,1,Morrill,reported_name,mtbs:NE4147410215720260313,NE4147410215720260313,Nebraska,41.64088,-102.28321,645316,MTBS Fire Occurrence Points,true,false
2026,United States,2,Cottonwood,reported_name,mtbs:NE4087210043320260315,NE4087210043320260315,Nebraska,40.8374,-100.34178,132350,MTBS Fire Occurrence Points,true,false
2026,United States,3,Road 203,reported_name,mtbs:NE4184710041020260312,NE4184710041020260312,Nebraska,41.82394,-100.31217,36123,MTBS Fire Occurrence Points,true,false
